                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    103,                 2.8146,                 2.2852,                 2.3913,                0.37376,                0.50147,                0.38168,                0.18232,                 3.8202,                 3.6272,                 3.3347,              0.0009902,              0.0009902,              0.0009902
                    104,                 2.8059,                 2.2578,                 2.3983,                0.45004,                0.45723,                0.40552,                0.19232,                 3.9081,                 3.7015,                 3.4089,              0.0009803,              0.0009803,              0.0009803
                    105,                 2.7918,                 2.2379,                 2.3325,                0.46402,                0.43658,                0.41127,                0.19915,                 3.8453,                 3.5756,                 3.3491,              0.0009704,              0.0009704,              0.0009704
                    106,                  2.823,                 2.2294,                 2.3328,                0.51768,                0.40843,                0.42206,                0.19975,                 3.8591,                 3.5169,                 3.3538,              0.0009605,              0.0009605,              0.0009605
                    107,                  2.765,                 2.2256,                  2.335,                0.49089,                0.46018,                 0.4369,                0.21522,                 3.7999,                 3.3813,                 3.3107,              0.0009506,              0.0009506,              0.0009506
                    108,                 2.7692,                 2.1745,                 2.3352,                0.43849,                0.46018,                0.41556,                0.19643,                 3.8055,                  3.478,                 3.3338,              0.0009407,              0.0009407,              0.0009407
                    109,                 2.7069,                 2.1695,                 2.3293,                0.48514,                0.45723,                0.44342,                0.21364,                 3.9064,                 3.3926,                 3.4031,              0.0009308,              0.0009308,              0.0009308
                    110,                 2.7462,                 2.1846,                  2.343,                0.46383,                0.44248,                 0.4122,                0.18821,                 3.9588,                 3.5109,                 3.4598,              0.0009209,              0.0009209,              0.0009209
                    111,                  2.736,                 2.1402,                 2.3176,                 0.5396,                0.39528,                0.40808,                0.19298,                 3.9506,                 3.8286,                 3.4365,               0.000911,               0.000911,               0.000911
                    112,                 2.7753,                 2.1675,                  2.339,                0.45422,                0.41981,                0.40097,                 0.1809,                 4.0482,                 3.5828,                 3.4569,              0.0009011,              0.0009011,              0.0009011
                    113,                 2.6729,                 2.0213,                 2.2755,                0.50963,                0.44454,                0.45316,                0.21135,                  3.997,                 3.3973,                 3.4587,              0.0008912,              0.0008912,              0.0008912
                    114,                 2.6362,                 2.0712,                 2.3048,                0.46492,                 0.4716,                0.41627,                0.19579,                  3.972,                 3.4658,                  3.447,              0.0008813,              0.0008813,              0.0008813
                    115,                 2.6878,                  2.086,                 2.3081,                0.55373,                0.42478,                0.40677,                0.18892,                 4.0635,                 3.6114,                 3.5018,              0.0008714,              0.0008714,              0.0008714
                    116,                  2.661,                 2.1079,                 2.2994,                0.47807,                0.46608,                0.41954,                0.19291,                 3.9543,                 3.4582,                 3.4696,              0.0008615,              0.0008615,              0.0008615
                    117,                 2.6036,                 1.9857,                 2.2782,                0.46129,                0.44543,                0.42105,                0.20051,                 3.9677,                 3.5153,                 3.4526,              0.0008516,              0.0008516,              0.0008516
                    118,                 2.6534,                 2.0019,                 2.2793,                0.48482,                0.44971,                0.41697,                0.19957,                  3.976,                 3.4225,                 3.4694,              0.0008417,              0.0008417,              0.0008417
                    119,                 2.6028,                 2.0413,                 2.3144,                0.44476,                0.46548,                0.41182,                0.19334,                 3.9581,                 3.4273,                 3.4431,              0.0008318,              0.0008318,              0.0008318
                    120,                 2.6955,                 2.0336,                 2.2878,                0.49203,                0.47788,                0.43063,                0.20135,                 3.9454,                 3.4909,                 3.4639,              0.0008219,              0.0008219,              0.0008219
                    121,                 2.5829,                 2.0108,                 2.2775,                0.57013,                0.46313,                0.45977,                0.22183,                 3.9402,                 3.4943,                 3.4172,               0.000812,               0.000812,               0.000812
                    122,                 2.5722,                 1.9592,                 2.2868,                0.50172,                0.45147,                0.42785,                0.19528,                 3.9876,                 3.5959,                 3.4374,              0.0008021,              0.0008021,              0.0008021
                    123,                 2.5973,                 2.0104,                  2.271,                 0.4486,                0.46608,                 0.3996,                0.19312,                 3.8704,                 3.6083,                 3.3583,              0.0007922,              0.0007922,              0.0007922
                    124,                 2.6328,                 1.9986,                 2.2505,                0.47928,                0.46313,                0.40395,                0.19018,                 3.9805,                 3.5343,                 3.4285,              0.0007823,              0.0007823,              0.0007823
                    125,                 2.6913,                 2.0219,                 2.2568,                0.53159,                0.41298,                0.41299,                0.19448,                  3.987,                 3.5783,                 3.4345,              0.0007724,              0.0007724,              0.0007724
                    126,                 2.5356,                 1.9239,                  2.232,                0.46497,                0.42811,                0.40703,                0.19704,                  3.932,                 3.6785,                 3.4604,              0.0007625,              0.0007625,              0.0007625
                    127,                  2.605,                 1.9345,                 2.2321,                0.48244,                0.43171,                0.40871,                0.18392,                 3.9794,                 3.7005,                 3.4766,              0.0007526,              0.0007526,              0.0007526
                    128,                 2.5341,                  1.897,                 2.2425,                0.58731,                0.40708,                0.44304,                0.21005,                 4.0492,                 3.4205,                 3.5423,              0.0007427,              0.0007427,              0.0007427
                    129,                 2.5354,                 1.9382,                 2.2438,                0.46075,                0.44838,                0.41176,                0.19644,                 4.0111,                 3.7583,                 3.4817,              0.0007328,              0.0007328,              0.0007328
                    130,                   2.62,                  1.989,                 2.2462,                0.42149,                0.46313,                  0.379,                0.17938,                   3.94,                  3.837,                 3.4171,              0.0007229,              0.0007229,              0.0007229
                    131,                 2.6047,                 2.0183,                 2.2701,                0.54568,                0.40413,                0.42312,                 0.1983,                 3.9287,                 3.6631,                 3.4463,               0.000713,               0.000713,               0.000713
                    132,                 2.5754,                 1.9367,                 2.2426,                0.60668,                 0.3913,                0.43101,                0.19299,                 3.9229,                 3.8175,                 3.4536,              0.0007031,              0.0007031,              0.0007031
                    133,                 2.5737,                 1.8895,                  2.245,                0.50466,                0.41593,                0.40757,                0.18863,                 3.9594,                  3.767,                 3.5037,              0.0006932,              0.0006932,              0.0006932
                    134,                 2.5894,                 1.8749,                   2.25,                0.50415,                0.43363,                0.41413,                0.19669,                 3.9672,                 3.7503,                 3.4483,              0.0006833,              0.0006833,              0.0006833
                    135,                 2.6164,                 1.8866,                 2.2436,                0.47688,                 0.4222,                0.38945,                0.18754,                  3.972,                  3.822,                 3.4457,              0.0006734,              0.0006734,              0.0006734
                    136,                 2.5376,                  1.853,                 2.2149,                0.54945,                0.45133,                0.44021,                0.20262,                 3.9675,                 3.6543,                 3.4345,              0.0006635,              0.0006635,              0.0006635
                    137,                 2.5316,                 1.8795,                 2.2178,                0.47031,                0.42183,                0.38607,                0.18333,                 3.9378,                 3.8875,                 3.4492,              0.0006536,              0.0006536,              0.0006536
                    138,                 2.4929,                 1.8839,                 2.2438,                0.45944,                0.44838,                0.40066,                0.18897,                 4.0051,                 3.8822,                 3.4935,              0.0006437,              0.0006437,              0.0006437
                    139,                 2.5028,                 1.8245,                 2.2172,                0.55301,                0.42183,                0.44452,                0.21114,                 3.9188,                 3.5402,                 3.4165,              0.0006338,              0.0006338,              0.0006338
                    140,                 2.5133,                 1.8342,                 2.1807,                0.48112,                0.46903,                0.43981,                0.20573,                 3.9279,                 3.6109,                 3.4307,              0.0006239,              0.0006239,              0.0006239
                    141,                  2.444,                 1.8453,                 2.2216,                 0.5369,                0.38348,                0.40685,                0.18684,                 4.0421,                 3.8381,                 3.4879,               0.000614,               0.000614,               0.000614
                    142,                 2.4368,                 1.8024,                 2.1902,                0.49519,                0.46018,                0.43044,                0.20384,                 3.9661,                 3.4651,                 3.4869,              0.0006041,              0.0006041,              0.0006041
                    143,                 2.4676,                 1.8305,                 2.1853,                0.43599,                0.46903,                0.42377,                0.19971,                 3.9712,                 3.5853,                 3.4835,              0.0005942,              0.0005942,              0.0005942
                    144,                 2.4447,                 1.8076,                 2.1694,                0.48732,                0.40413,                0.40308,                0.18885,                 3.9176,                 3.9232,                 3.4325,              0.0005843,              0.0005843,              0.0005843
                    145,                 2.4516,                 1.8104,                 2.2296,                0.59679,                0.36578,                0.41499,                0.20226,                 3.9247,                 3.8166,                 3.4444,              0.0005744,              0.0005744,              0.0005744
                    146,                 2.4824,                 1.7611,                 2.1539,                0.44907,                0.43363,                0.40902,                0.19606,                 3.9359,                 3.7561,                 3.4604,              0.0005645,              0.0005645,              0.0005645
                    147,                 2.4524,                 1.7608,                  2.171,                0.43333,                0.40413,                0.37893,                0.18077,                 4.0003,                 3.9597,                 3.5219,              0.0005546,              0.0005546,              0.0005546
                    148,                 2.3405,                 1.6907,                 2.1586,                0.44187,                0.47198,                0.41946,                0.20368,                 4.0068,                 3.6054,                 3.5303,              0.0005447,              0.0005447,              0.0005447
                    149,                 2.3877,                 1.6848,                 2.1565,                0.50124,                  0.418,                0.41167,                0.19138,                 4.0228,                 3.8378,                 3.5043,              0.0005348,              0.0005348,              0.0005348
