                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.89178,                 1.8295,                0.69988,                 1.2072,                0.87179,                0.85039,                0.90987,                 0.6822,                0.55497,                    0.5,                0.46038,                0.16176,                0.93427,                 1.8876,                 1.5366,                 1.7131,              0.0012476,              0.0012476,              0.0012476
                     78,                0.88896,                 1.8446,                0.67135,                 1.2132,                0.89258,                  0.875,                0.96457,                0.71646,                0.67087,                  0.625,                0.54179,                0.21954,                0.97483,                  1.802,                 0.8843,                 1.7743,              0.0012377,              0.0012377,              0.0012377
                     79,                0.84642,                  1.807,                0.65936,                 1.1894,                0.87263,                0.91667,                 0.9684,                 0.7039,                0.65132,                    0.5,                0.43299,                0.18914,                 1.0327,                  1.932,                0.69135,                 1.7977,              0.0012278,              0.0012278,              0.0012278
                     80,                0.84572,                 1.8529,                0.64721,                 1.1599,                0.87558,                0.83333,                0.90884,                0.66415,                0.61291,                0.58333,                0.45754,                0.15354,                  1.026,                 1.8518,                0.72635,                 1.7769,              0.0012179,              0.0012179,              0.0012179
                     81,                0.83137,                 1.8007,                0.60596,                 1.1707,                0.94759,                  0.875,                0.94561,                0.69903,                0.72186,                0.66667,                0.50035,                0.17474,                0.92119,                 1.7247,                0.67023,                 1.6463,               0.001208,               0.001208,               0.001208
                     82,                0.89603,                 1.8164,                0.66258,                 1.1931,                0.95975,                0.99376,                 0.9934,                0.75622,                 0.6793,                  0.625,                0.52069,                0.19895,                0.91375,                  1.755,                0.58232,                 1.7258,              0.0011981,              0.0011981,              0.0011981
                     83,                0.85486,                 1.7966,                0.67258,                 1.2006,                0.95077,                0.95833,                0.97109,                0.71061,                0.69094,                    0.5,                0.47546,                0.17994,                 1.0069,                 1.8337,                 0.6644,                 1.7425,              0.0011882,              0.0011882,              0.0011882
                     84,                0.87641,                 1.8518,                0.66381,                  1.184,                      1,                0.86856,                0.93732,                0.65721,                0.83174,                0.66667,                0.63887,                0.22013,                 1.1778,                 1.8276,                0.71686,                 1.9372,              0.0011783,              0.0011783,              0.0011783
                     85,                0.84231,                  1.712,                0.65022,                 1.1652,                0.90863,                0.82893,                0.92344,                0.68881,                0.70568,                  0.625,                0.59406,                0.20871,                 1.0058,                 1.9196,                0.87522,                   1.72,              0.0011684,              0.0011684,              0.0011684
                     86,                0.89653,                 1.9132,                0.70724,                 1.2114,                0.95601,                0.95833,                0.98859,                0.77364,                0.63213,                0.58333,                0.53719,                0.19055,                 0.8525,                 2.0089,                0.59883,                 1.6144,              0.0011585,              0.0011585,              0.0011585
                     87,                0.90707,                 1.8524,                 0.6878,                 1.2177,                0.99932,                      1,                  0.995,                0.77053,                0.61926,                0.58333,                0.51465,                0.19439,                0.84829,                 2.0616,                0.58658,                 1.6541,              0.0011486,              0.0011486,              0.0011486
                     88,                0.82908,                 1.7557,                0.65182,                 1.1639,                0.93248,                  0.875,                0.91425,                0.61417,                0.76149,                0.58333,                0.55229,                0.22754,                 1.1993,                 1.7397,                0.78396,                 1.9164,              0.0011387,              0.0011387,              0.0011387
                     89,                 0.8379,                 1.7238,                0.64308,                  1.144,                0.99296,                0.83333,                0.96806,                 0.6562,                0.78776,                 0.6189,                0.52576,                0.18539,                  1.109,                 1.9263,                0.68276,                 1.8349,              0.0011288,              0.0011288,              0.0011288
